Press (GPa)	Temp (K)	Density (g/cm^-3)	S (J/(K*g))
1e-09	14125.375446227554	1e-09	4.370186790706164e+52
1e-09	15848.93192461114	1e-09	1.527566058238064e+93
1e-09	17782.794100389227	1e-09	1.4859356422869969e+90
1e-09	19952.62314968879	1e-09	4.3281270422022745e+69
1e-09	22387.21138568338	1e-09	3.128239532257742e+51
1e-09	25118.864315095823	1e-09	4.698941086052122e+34
1e-09	28183.82931264455	1e-09	2.2207516834507485e+25
1e-09	31622.776601683792	1e-09	4.1677340679767305e+46
1e-09	35481.33892335753	1e-09	1.80301774085957e+120
1e-09	39810.71705534969	1e-09	3.111716337105982e+176
1e-09	44668.359215096345	1e-09	3.523708710424847e+133
1e-09	50118.72336272725	1e-09	2.571579766372758e+77
1e-09	56234.13251903491	1e-09	4.8484173870843925e+62
1e-09	63095.7344480193	1e-09	2.0587328767334972e+69
1e-09	70794.57843841374	1e-09	2.6515510930092354e+73
1e-09	79432.82347242821	1e-09	1.944016738513043e+74
1e-09	89125.0938133746	1e-09	2.610357560340824e+76
1e-09	100000.0	1e-09	1.64323622370255e+80
1e-09	112201.84543019629	1e-09	1.0952165553667457e+83
1e-09	125892.54117941661	1e-09	4.807286438439686e+85
1e-09	141253.75446227554	1e-09	4.505053989279244e+88
1e-09	158489.3192461114	1e-09	1.3152248321922376e+92
1e-09	177827.94100389228	1e-09	1.6788040181225384e+95
1e-09	199526.2314968879	1e-09	4.4258837236262734e+98
1e-09	223872.11385683378	1e-09	9.72747223776964e+101
1e-09	251188.6431509582	1e-09	3.459393778261231e+105
1e-09	281838.2931264455	1e-09	3.8194427084004096e+108
1e-09	316227.7660168379	1e-09	5.546257129579105e+111
1e-09	354813.3892335753	1e-09	2.79898131963438e+115
1e-09	398107.1705534969	1e-09	8.31763771102647e+118
1e-09	446683.5921509635	1e-09	4.255984131337339e+122
1e-09	501187.2336272725	1e-09	2.1827299118429944e+126
1e-09	562341.3251903491	1e-09	3.1405086938763196e+130
1e-09	630957.344480193	1e-09	4.688133821452569e+133
1e-09	707945.7843841374	1e-09	6.7764150761065776e+137
1e-09	794328.2347242822	1e-09	3.7325015779572295e+141
1e-09	891250.9381337459	1e-09	5.407543229455859e+145
1e-09	1000000.0	1e-09	2.775875603534323e+33
1e-09	1122018.4543019629	1e-09	6.0211577e-05
1e-09	1258925.411794166	1e-09	1.44006e-07
1e-09	1412537.5446227554	1e-09	0.000324593635
1e-09	1584893.1924611141	1e-09	4.2004904339619974e+46
1e-09	1778279.410038923	1e-09	22.532013356295
1e-09	1995262.3149688789	1e-09	0.00100251297
1e-09	2238721.138568338	1e-09	2.298793709264049e+54
1e-09	2511886.4315095823	1e-09	9e-12
1e-09	2818382.931264455	1e-09	3.4024363e-05
1e-09	3162277.6601683795	1e-09	1.6270466311748824e+33
1e-09	3548133.892335753	1e-09	1.542304e-06
1e-09	3981071.7055349695	1e-09	0.033147440521
1e-09	4466835.921509635	1e-09	2.963876e-06
1e-09	5011872.336272725	1e-09	1.0808116e-05
1e-09	5623413.251903491	1e-09	1.015851e-05
1e-09	6309573.44480193	1e-09	0.156794202315
1e-09	7079457.843841373	1e-09	3.9201257629516426e+48
1e-09	7943282.347242822	1e-09	4.239357093413629e+46
1e-09	8912509.381337458	1e-09	3.9534841e-05
1e-09	10000000.0	1e-09	0.004766284919
1e-09	11220184.54301963	1e-09	542.875197039682
1e-09	12589254.117941663	1e-09	0.000137217657
1e-09	14125375.446227554	1e-09	707456.9216278607
1e-09	15848931.924611142	1e-09	0.011545161169
1e-09	17782794.100389227	1e-09	3.63663739330845e+64
1e-09	19952623.149688788	1e-09	25810.712896459365
1e-09	22387211.385683376	1e-09	1.422001321518889e+64
1e-09	25118864.315095823	1e-09	4.770896554256522e+38
1e-09	28183829.31264455	1e-09	6.324118513762222e+95
1e-09	31622776.60168379	1e-09	0.298765193316
1e-09	35481338.92335753	1e-09	1.2246161992650313e+99
1e-09	39810717.05534969	1e-09	0.906212399005
1e-09	44668359.21509635	1e-09	0.004384903095
1e-09	50118723.36272725	1e-09	2.264122914001
1e-09	56234132.51903491	1e-09	30.959932133092
1e-09	63095734.448019296	1e-09	67142885292.595505
1e-09	70794578.43841374	1e-09	8.128305161640929e+114
1e-09	79432823.47242822	1e-09	5.046612975635318e+95
1e-09	89125093.8133746	1e-09	85.782756988281
1e-09	100000000.0	1e-09	7.244359600750128e+189
1.122e-09	100.0	2.010805201595079e-09	9e-12
1.122e-09	112.2018454301963	1.8301639647432543e-09	2.8e-11
1.122e-09	125.89254117941675	1.7304936101494255e-09	9e-12
1.122e-09	141.2537544622754	1.7344029358670436e-09	3e-12
1.122e-09	158.48931924611142	1.3007984177851628e-09	3e-12
1.122e-09	177.82794100389228	1.818486159552055e-09	1.61e-10
1.122e-09	199.52623149688787	1.4679119297026876e-09	1e-11
1.122e-09	223.872113856834	1.3894726414781233e-09	4e-12
1.122e-09	251.18864315095797	1.0586685216489437e-09	1e-11
1.122e-09	281.8382931264455	1e-09	1.3e-11
1.122e-09	316.22776601683796	1e-09	2.5e-11
1.122e-09	354.8133892335753	1e-09	2.2e-11
1.122e-09	398.1071705534973	1e-09	3.9e-11
1.122e-09	446.683592150963	1e-09	3.5e-11
1.122e-09	501.18723362727246	1e-09	8.2e-11
1.122e-09	562.341325190349	1e-09	1.12e-10
1.122e-09	630.957344480193	1e-09	2.14e-10
1.122e-09	707.945784384138	1e-09	7.72e-10
1.122e-09	794.3282347242813	1e-09	4.59e-10
