Press (GPa)	Temp (K)	Density (g/cm^-3)	S (J/(K*g))
1e-07	56234132.51903491	1e-09	1.25017e-07
1e-07	63095734.448019296	1e-09	0.000198939032
1e-07	70794578.43841374	1e-09	7.524887301735844e+35
1e-07	79432823.47242822	1e-09	1.3289235571266557e+29
1e-07	89125093.8133746	1e-09	2.66459e-07
1e-07	100000000.0	1e-09	1.6842245750826967e+75
1.12202e-07	100.0	3.1502135848167987e-07	7e-12
1.12202e-07	112.2018454301963	2.806661258906883e-07	7e-12
1.12202e-07	125.89254117941675	2.502476454810985e-07	7e-12
1.12202e-07	141.2537544622754	2.2309508373491245e-07	7e-12
1.12202e-07	158.48931924611142	1.9877877047890896e-07	7e-12
1.12202e-07	177.82794100389228	1.7712505577061523e-07	8e-12
1.12202e-07	199.52623149688787	1.5786650709136257e-07	8e-12
1.12202e-07	223.872113856834	1.4073107334181153e-07	8e-12
1.12202e-07	251.18864315095797	1.2541803727013198e-07	8e-12
1.12202e-07	281.8382931264455	1.1176092819077865e-07	8e-12
1.12202e-07	316.22776601683796	9.961161927569787e-08	8e-12
1.12202e-07	354.8133892335753	8.878303764432482e-08	8e-12
1.12202e-07	398.1071705534973	7.912978760058477e-08	9e-12
1.12202e-07	446.683592150963	7.052774528125861e-08	9e-12
1.12202e-07	501.18723362727246	6.285647180596681e-08	9e-12
1.12202e-07	562.341325190349	5.601701981255044e-08	9e-12
1.12202e-07	630.957344480193	4.993096964381279e-08	9e-12
1.12202e-07	707.945784384138	4.4495900462218334e-08	9e-12
1.12202e-07	794.3282347242813	3.965792617704114e-08	9e-12
1.12202e-07	891.2509381337459	3.5347605551482925e-08	9e-12
1.12202e-07	1000.0	3.1502135848167984e-08	1e-11
1.12202e-07	1122.018454301963	2.8076308127896425e-08	1e-11
1.12202e-07	1258.9254117941675	2.50230359583198e-08	1e-11
1.12202e-07	1412.537544622754	2.229975029531496e-08	1e-11
1.12202e-07	1584.893192461114	1.9865065437366118e-08	1e-11
1.12202e-07	1778.2794100389228	1.7649808594908453e-08	1e-11
1.12202e-07	1995.2623149688789	1.5484243775624446e-08	1.1e-11
1.12202e-07	2238.72113856834	1.2947323519141455e-08	1.2e-11
1.12202e-07	2511.88643150958	9.653393285738975e-09	1.3e-11
1.12202e-07	2818.382931264455	4.924589105736733e-09	1.8e-11
1.12202e-07	3162.2776601683795	4.217353449005735e-09	1.9e-11
1.12202e-07	3548.133892335753	1.3457983763232803e-09	1.8e-11
1.12202e-07	3981.0717055349733	1.341806835653487e-09	1.7e-11
1.12202e-07	4466.835921509631	1.4132532732268871e-09	1.9e-11
1.12202e-07	5011.872336272725	3.386023750154585e-09	2e-11
1.12202e-07	5623.413251903491	1.3269971801626435e-09	1.7e-11
1.12202e-07	6309.57344480193	3.219808184578146e-09	1.8e-11
1.12202e-07	7079.457843841381	1.3054492708326143e-09	2.8e-11
1.12202e-07	7943.282347242814	2.703522572634938e-09	2e-11
1.12202e-07	8912.509381337459	1.9022605439079353e-09	1.4e-11
1.12202e-07	10000.0	1e-09	7.244359600750128e+189
1.12202e-07	11220.18454301963	1e-09	1e-11
1.12202e-07	12589.254117941662	1e-09	6.1352e-08
1.12202e-07	14125.375446227554	1e-09	1.1764e-08
1.12202e-07	15848.93192461114	1e-09	6.17e-10
1.12202e-07	17782.794100389227	1e-09	2.424e-09
1.12202e-07	19952.62314968879	1e-09	4.76e-10
1.12202e-07	22387.21138568338	1e-09	4.89e-10
1.12202e-07	25118.864315095823	1e-09	1.46e-10
1.12202e-07	28183.82931264455	1e-09	5.715e-09
1.12202e-07	31622.776601683792	1e-09	7.51e-10
1.12202e-07	35481.33892335753	1e-09	7.346661e-06
1.12202e-07	39810.71705534969	1e-09	0.14191555501
1.12202e-07	44668.359215096345	1e-09	0.008101958233
1.12202e-07	50118.72336272725	1e-09	7.884606e-06
1.12202e-07	56234.13251903491	1e-09	1.65825e-06
1.12202e-07	63095.7344480193	1e-09	1.1574174e-05
1.12202e-07	70794.57843841374	1e-09	5.8262619e-05
1.12202e-07	79432.82347242821	1e-09	0.000168414702
1.12202e-07	89125.0938133746	1e-09	0.00064824623
1.12202e-07	100000.0	1e-09	0.004786521346
1.12202e-07	112201.84543019629	1e-09	0.019234017197
1.12202e-07	125892.54117941661	1e-09	0.099325326195
1.12202e-07	141253.75446227554	1e-09	0.591057864031
1.12202e-07	158489.3192461114	1e-09	4.27759831482
1.12202e-07	177827.94100389228	1e-09	30.185613014198
1.12202e-07	199526.2314968879	1e-09	249.00037433882
1.12202e-07	223872.11385683378	1e-09	2156.750959898167
1.12202e-07	251188.6431509582	1e-09	21355.020860474357
1.12202e-07	281838.2931264455	1e-09	193463.92744922894
1.12202e-07	316227.7660168379	1e-09	1939992.272390986
1.12202e-07	354813.3892335753	1e-09	24905771.539520998
1.12202e-07	398107.1705534969	1e-09	317541140.2891834
1.12202e-07	446683.5921509635	1e-09	4717370642.684883
1.12202e-07	501187.2336272725	1e-09	75544004056.76184
1.12202e-07	562341.3251903491	1e-09	1545254439538.414
1.12202e-07	630957.344480193	1e-09	23125972240639.51
1.12202e-07	707945.7843841374	1e-09	540754322945581.5
1.12202e-07	794328.2347242822	1e-09	1.1792340206530024e+16
1.12202e-07	891250.9381337459	1e-09	3.3713201787284275e+17
1.12202e-07	1000000.0	1e-09	0.267177572712
1.12202e-07	1122018.4543019629	1e-09	1.3e-10
1.12202e-07	1258925.411794166	1e-09	4.3e-11
1.12202e-07	1412537.5446227554	1e-09	2.13e-10
1.12202e-07	1584893.1924611141	1e-09	2100.390280821433
1.12202e-07	1778279.410038923	1e-09	2.576e-09
1.12202e-07	1995262.3149688789	1e-09	3.45e-10
1.12202e-07	2238721.138568338	1e-09	924272.4327301164
1.12202e-07	2511886.4315095823	1e-09	7e-12
1.12202e-07	2818382.931264455	1e-09	2.08e-10
1.12202e-07	3162277.6601683795	1e-09	14.135136280793
1.12202e-07	3548133.892335753	1e-09	1.16e-10
1.12202e-07	3981071.7055349695	1e-09	1.316e-09
1.12202e-07	4466835.921509635	1e-09	2.58e-10
1.12202e-07	5011872.336272725	1e-09	2.43e-10
1.12202e-07	5623413.251903491	1e-09	1.199e-09
1.12202e-07	6309573.44480193	1e-09	5.141e-09
1.12202e-07	7079457.843841373	1e-09	6013121.787899332
1.12202e-07	7943282.347242822	1e-09	2618785.9365475504
1.12202e-07	8912509.381337458	1e-09	1.031e-09
1.12202e-07	10000000.0	1e-09	1.646e-09
1.12202e-07	11220184.54301963	1e-09	4.3272e-08
1.12202e-07	12589254.117941663	1e-09	7.4e-10
1.12202e-07	14125375.446227554	1e-09	4.20843e-07
1.12202e-07	15848931.924611142	1e-09	2.935e-09
1.12202e-07	17782794.100389227	1e-09	35809643710263.48
1.12202e-07	19952623.149688788	1e-09	2.48468e-07
1.12202e-07	22387211.385683376	1e-09	85960711201948.27
1.12202e-07	25118864.315095823	1e-09	644762.8406439212
1.12202e-07	28183829.31264455	1e-09	8.883825104030186e+24
1.12202e-07	31622776.60168379	1e-09	1.2989e-08
1.12202e-07	35481338.92335753	1e-09	5.8022975998186935e+26
1.12202e-07	39810717.05534969	1e-09	2.2061e-08
1.12202e-07	44668359.21509635	1e-09	4.449e-09
1.12202e-07	50118723.36272725	1e-09	3.5458e-08
1.12202e-07	56234132.51903491	1e-09	9.0895e-08
1.12202e-07	63095734.448019296	1e-09	0.000114411584
1.12202e-07	70794578.43841374	1e-09	3.338105051659882e+34
1.12202e-07	79432823.47242822	1e-09	9.543331283085383e+27
1.12202e-07	89125093.8133746	1e-09	1.9188e-07
1.12202e-07	100000000.0	1e-09	6.191558775938698e+72
1.25893e-07	100.0	3.53459777715719e-07	7e-12
1.25893e-07	112.2018454301963	3.149125727467902e-07	7e-12
1.25893e-07	125.89254117941675	2.8078247637540774e-07	7e-12
1.25893e-07	141.2537544622754	2.5031680101461346e-07	7e-12
1.25893e-07	158.48931924611142	2.2303344880079008e-07	7e-12
1.25893e-07	177.82794100389228	1.9873758129389468e-07	8e-12
1.25893e-07	199.52623149688787	1.7712913427270052e-07	8e-12
1.25893e-07	223.872113856834	1.5790286138323556e-07	8e-12
1.25893e-07	251.18864315095797	1.4072135231941976e-07	8e-12
1.25893e-07	281.8382931264455	1.253978238999704e-07	8e-12
1.25893e-07	316.22776601683796	1.1176607509023415e-07	8e-12
1.25893e-07	354.8133892335753	9.961620666591831e-08	8e-12
1.25893e-07	398.1071705534973	8.878508197285076e-08	8e-12
1.25893e-07	446.683592150963	7.913343174588051e-08	9e-12
1.25893e-07	501.18723362727246	7.05261213386058e-08	9e-12
1.25893e-07	562.341325190349	6.285212998468041e-08	9e-12
1.25893e-07	630.957344480193	5.602346938154917e-08	9e-12
1.25893e-07	707.945784384138	4.9925221459392216e-08	9e-12
1.25893e-07	794.3282347242813	4.4496925029985056e-08	9e-12
1.25893e-07	891.2509381337459	3.9660665744150356e-08	9e-12
1.25893e-07	1000.0	3.53459777715719e-08	1e-11
1.25893e-07	1122.018454301963	3.1502135848167984e-08	1e-11
1.25893e-07	1258.9254117941675	2.8076308127896425e-08	1e-11
1.25893e-07	1412.537544622754	2.5020731357669035e-08	1e-11
1.25893e-07	1584.893192461114	2.228999648527799e-08	1e-11
1.25893e-07	1778.2794100389228	1.9807515297144206e-08	1e-11
1.25893e-07	1995.2623149688789	1.739201895235642e-08	1.1e-11
1.25893e-07	2238.72113856834	1.4591838019095382e-08	1.1e-11
1.25893e-07	2511.88643150958	1.0893062614216537e-08	1.3e-11
1.25893e-07	2818.382931264455	6.503692510984623e-09	1.7e-11
1.25893e-07	3162.2776601683795	5.228895951526985e-09	1.8e-11
1.25893e-07	3548.133892335753	1.3493356663101902e-09	1.8e-11
1.25893e-07	3981.0717055349733	1.3457983763232803e-09	1.7e-11
1.25893e-07	4466.835921509631	2.073242008356872e-09	1.8e-11
1.25893e-07	5011.872336272725	3.807851471364188e-09	2e-11
1.25893e-07	5623.413251903491	1.332293778976937e-09	1.8e-11
1.25893e-07	6309.57344480193	3.4916443407017664e-09	1.8e-11
1.25893e-07	7079.457843841381	1.319775311707115e-09	2.6e-11
1.25893e-07	7943.282347242814	2.9855888489662694e-09	2e-11
1.25893e-07	8912.509381337459	2.252163936956306e-09	1.5e-11
1.25893e-07	10000.0	1.192120071026761e-09	1.3835663789717527e+186
1.25893e-07	11220.18454301963	1.0022360036762053e-09	1.1e-11
1.25893e-07	12589.254117941662	1e-09	2.4634e-08
1.25893e-07	14125.375446227554	1e-09	6.043e-09
1.25893e-07	15848.93192461114	1e-09	4.41e-10
1.25893e-07	17782.794100389227	1e-09	1.511e-09
1.25893e-07	19952.62314968879	1e-09	2.69e-10
1.25893e-07	22387.21138568338	1e-09	3.26e-10
1.25893e-07	25118.864315095823	1e-09	1.02e-10
1.25893e-07	28183.82931264455	1e-09	3.574e-09
1.25893e-07	31622.776601683792	1e-09	3.69e-10
1.25893e-07	35481.33892335753	1e-09	1.231062e-06
1.25893e-07	39810.71705534969	1e-09	0.009045862874
1.25893e-07	44668.359215096345	1e-09	0.000845492968
1.25893e-07	50118.72336272725	1e-09	1.855154e-06
1.25893e-07	56234.13251903491	1e-09	4.78112e-07
1.25893e-07	63095.7344480193	1e-09	2.889482e-06
1.25893e-07	70794.57843841374	1e-09	1.3102978e-05
1.25893e-07	79432.82347242821	1e-09	3.6071982e-05
1.25893e-07	89125.0938133746	1e-09	0.000129357019
1.25893e-07	100000.0	1e-09	0.000993779423
1.25893e-07	112201.84543019629	1e-09	0.003183977573
1.25893e-07	125892.54117941661	1e-09	0.015151652454
1.25893e-07	141253.75446227554	1e-09	0.082535350513
1.25893e-07	158489.3192461114	1e-09	0.541165372933
1.25893e-07	177827.94100389228	1e-09	3.481769367055
1.25893e-07	199526.2314968879	1e-09	26.019563102632
1.25893e-07	223872.11385683378	1e-09	204.361932108446
1.25893e-07	251188.6431509582	1e-09	1826.83784530852
1.25893e-07	281838.2931264455	1e-09	15093.848966549549
1.25893e-07	316227.7660168379	1e-09	137720.94688939443
1.25893e-07	354813.3892335753	1e-09	1589644.4569080009
1.25893e-07	398107.1705534969	1e-09	18314708.046613455
1.25893e-07	446683.5921509635	1e-09	244511899.7825046
1.25893e-07	501187.2336272725	1e-09	3518033737.737015
1.25893e-07	562341.3251903491	1e-09	64032432446.89471
1.25893e-07	630957.344480193	1e-09	871766146601.8502
1.25893e-07	707945.7843841374	1e-09	18134266758708.094
1.25893e-07	794328.2347242822	1e-09	355058570312623.9
1.25893e-07	891250.9381337459	1e-09	9026097074709768.0
1.25893e-07	1000000.0	1e-09	0.093102212121
1.25893e-07	1122018.4543019629	1e-09	1.1e-10
1.25893e-07	1258925.411794166	1e-09	3.9e-11
1.25893e-07	1412537.5446227554	1e-09	1.77e-10
1.25893e-07	1584893.1924611141	1e-09	525.896160382461
1.25893e-07	1778279.410038923	1e-09	1.908e-09
1.25893e-07	1995262.3149688789	1e-09	2.84e-10
1.25893e-07	2238721.138568338	1e-09	190064.05908652526
1.25893e-07	2511886.4315095823	1e-09	7e-12
1.25893e-07	2818382.931264455	1e-09	1.76e-10
1.25893e-07	3162277.6601683795	1e-09	4.85065068
1.25893e-07	3548133.892335753	1e-09	1.01e-10
1.25893e-07	3981071.7055349695	1e-09	1.038e-09
1.25893e-07	4466835.921509635	1e-09	2.35e-10
1.25893e-07	5011872.336272725	1e-09	2.12e-10
1.25893e-07	5623413.251903491	1e-09	1.061e-09
1.25893e-07	6309573.44480193	1e-09	4.187e-09
1.25893e-07	7079457.843841373	1e-09	1405400.1643876238
1.25893e-07	7943282.347242822	1e-09	642243.917670432
1.25893e-07	8912509.381337458	1e-09	9.12e-10
1.25893e-07	10000000.0	1e-09	1.323e-09
1.25893e-07	11220184.54301963	1e-09	3.0701e-08
1.25893e-07	12589254.117941663	1e-09	6.21e-10
1.25893e-07	14125375.446227554	1e-09	2.77077e-07
1.25893e-07	15848931.924611142	1e-09	2.336e-09
1.25893e-07	17782794.100389227	1e-09	5655877570891.556
1.25893e-07	19952623.149688788	1e-09	1.6906e-07
1.25893e-07	22387211.385683376	1e-09	13743583962973.498
1.25893e-07	25118864.315095823	1e-09	193107.88175580837
1.25893e-07	28183829.31264455	1e-09	6.54184123569238e+23
1.25893e-07	31622776.60168379	1e-09	9.989e-09
1.25893e-07	35481338.92335753	1e-09	3.959132167281659e+25
1.25893e-07	39810717.05534969	1e-09	1.6779e-08
1.25893e-07	44668359.21509635	1e-09	3.579e-09
1.25893e-07	50118723.36272725	1e-09	2.6689e-08
1.25893e-07	56234132.51903491	1e-09	6.6544e-08
1.25893e-07	63095734.448019296	1e-09	6.6590151e-05
1.25893e-07	70794578.43841374	1e-09	1.5750705089261572e+33
1.25893e-07	79432823.47242822	1e-09	7.216057746678522e+26
1.25893e-07	89125093.8133746	1e-09	1.39123e-07
1.25893e-07	100000000.0	1e-09	2.5339614293978625e+70
1.41254e-07	100.0	3.9658839345050726e-07	7e-12
1.41254e-07	112.2018454301963	3.53337718113608e-07	7e-12
1.41254e-07	125.89254117941675	3.150431201378131e-07	7e-12
1.41254e-07	141.2537544622754	2.8086007016022865e-07	7e-12
1.41254e-07	158.48931924611142	2.502476454810985e-07	7e-12
1.41254e-07	177.82794100389228	2.2298723377508643e-07	8e-12
1.41254e-07	199.52623149688787	1.987421574485003e-07	8e-12
1.41254e-07	223.872113856834	1.7716992445907508e-07	8e-12
1.41254e-07	251.18864315095797	1.578919542167173e-07	8e-12
1.41254e-07	281.8382931264455	1.4069867254507455e-07	8e-12
1.41254e-07	316.22776601683796	1.2540359881614166e-07	8e-12
1.41254e-07	354.8133892335753	1.1177122222671857e-07	8e-12
1.41254e-07	398.1071705534973	9.961850044025108e-08	8e-12
1.41254e-07	446.683592150963	8.878917077112274e-08	9e-12
1.41254e-07	501.18723362727246	7.913160965225517e-08	9e-12
1.41254e-07	562.341325190349	7.052124973499717e-08	9e-12
1.41254e-07	630.957344480193	6.285936652011915e-08	9e-12
1.41254e-07	707.945784384138	5.601701981255044e-08	9e-12
1.41254e-07	794.3282347242813	4.992637104333426e-08	9e-12
1.41254e-07	891.2509381337459	4.4499998874838485e-08	9e-12
1.41254e-07	1000.0	3.9658839345050726e-08	1e-11
1.41254e-07	1122.018454301963	3.53459777715719e-08	1e-11
1.41254e-07	1258.9254117941675	3.1502135848167984e-08	1e-11
1.41254e-07	1412.537544622754	2.8074368752224025e-08	1e-11
1.41254e-07	1584.893192461114	2.5010363281074318e-08	1e-11
1.41254e-07	1778.2794100389228	2.222900379553021e-08	1e-11
1.41254e-07	1995.2623149688789	1.953439656398256e-08	1.1e-11
1.41254e-07	2238.72113856834	1.6441445605580995e-08	1.1e-11
1.41254e-07	2511.88643150958	1.2353214996872126e-08	1.3e-11
1.41254e-07	2818.382931264455	8.07253617736305e-09	1.6e-11
1.41254e-07	3162.2776601683795	6.305071269597809e-09	1.8e-11
1.41254e-07	3548.133892335753	7.495316909882774e-09	1.8e-11
1.41254e-07	3981.0717055349733	1.3493356663101902e-09	1.8e-11
1.41254e-07	4466.835921509631	2.881442781747803e-09	1.8e-11
1.41254e-07	5011.872336272725	4.280652760399618e-09	1.9e-11
1.41254e-07	5623.413251903491	5.481886002367589e-09	1.8e-11
1.41254e-07	6309.57344480193	3.796732501212296e-09	1.8e-11
1.41254e-07	7079.457843841381	1.3270582920482932e-09	2.4e-11
1.41254e-07	7943.282347242814	3.230725056892877e-09	2e-11
1.41254e-07	8912.509381337459	2.5260968657405427e-09	1.6e-11
1.41254e-07	10000.0	1.2720084606712885e-09	1.2912192736135044e+155
1.41254e-07	11220.18454301963	1.1964925532810204e-09	1.3e-11
1.41254e-07	12589.254117941662	1e-09	1.0657e-08
1.41254e-07	14125.375446227554	1e-09	3.266e-09
1.41254e-07	15848.93192461114	1e-09	3.25e-10
1.41254e-07	17782.794100389227	1e-09	9.84e-10
1.41254e-07	19952.62314968879	1e-09	1.76e-10
1.41254e-07	22387.21138568338	1e-09	2.36e-10
1.41254e-07	25118.864315095823	1e-09	7.8e-11
1.41254e-07	28183.82931264455	1e-09	2.301e-09
1.41254e-07	31622.776601683792	1e-09	1.96e-10
1.41254e-07	35481.33892335753	1e-09	2.40315e-07
1.41254e-07	39810.71705534969	1e-09	0.000715648887
1.41254e-07	44668.359215096345	1e-09	0.000104063877
1.41254e-07	50118.72336272725	1e-09	4.82814e-07
1.41254e-07	56234.13251903491	1e-09	1.49755e-07
1.41254e-07	63095.7344480193	1e-09	7.88933e-07
1.41254e-07	70794.57843841374	1e-09	3.235862e-06
1.41254e-07	79432.82347242821	1e-09	8.482815e-06
1.41254e-07	89125.0938133746	1e-09	2.8379844e-05
1.41254e-07	100000.0	1e-09	0.000238127745
1.41254e-07	112201.84543019629	1e-09	0.000582492047
1.41254e-07	125892.54117941661	1e-09	0.002558644801
1.41254e-07	141253.75446227554	1e-09	0.012782623577
1.41254e-07	158489.3192461114	1e-09	0.076109698231
1.41254e-07	177827.94100389228	1e-09	0.447538085816
1.41254e-07	199526.2314968879	1e-09	3.035987645988
1.41254e-07	223872.11385683378	1e-09	21.672050299642
1.41254e-07	251188.6431509582	1e-09	175.226586188571
1.41254e-07	281838.2931264455	1e-09	1322.817708009933
1.41254e-07	316227.7660168379	1e-09	10997.652680385676
1.41254e-07	354813.3892335753	1e-09	114366.80799117054
1.41254e-07	398107.1705534969	1e-09	1192614.2658558197
1.41254e-07	446683.5921509635	1e-09	14338377.160558138
1.41254e-07	501187.2336272725	1e-09	185737672.90529633
1.41254e-07	562341.3251903491	1e-09	3013699874.341139
1.41254e-07	630957.344480193	1e-09	37368012538.211716
1.41254e-07	707945.7843841374	1e-09	692946969842.553
1.41254e-07	794328.2347242822	1e-09	12203938207443.209
1.41254e-07	891250.9381337459	1e-09	276375791917037.34
1.41254e-07	1000000.0	1e-09	0.033535902629
1.41254e-07	1122018.4543019629	1e-09	9.4e-11
1.41254e-07	1258925.411794166	1e-09	3.5e-11
1.41254e-07	1412537.5446227554	1e-09	1.48e-10
1.41254e-07	1584893.1924611141	1e-09	137.182906488828
1.41254e-07	1778279.410038923	1e-09	1.427e-09
1.41254e-07	1995262.3149688789	1e-09	2.34e-10
1.41254e-07	2238721.138568338	1e-09	40878.97521111193
1.41254e-07	2511886.4315095823	1e-09	7e-12
1.41254e-07	2818382.931264455	1e-09	1.5e-10
1.41254e-07	3162277.6601683795	1e-09	1.713562699686
1.41254e-07	3548133.892335753	1e-09	8.9e-11
1.41254e-07	3981071.7055349695	1e-09	8.25e-10
1.41254e-07	4466835.921509635	1e-09	2.15e-10
1.41254e-07	5011872.336272725	1e-09	1.86e-10
1.41254e-07	5623413.251903491	1e-09	9.41e-10
1.41254e-07	6309573.44480193	1e-09	3.438e-09
1.41254e-07	7079457.843841373	1e-09	340564.98956736067
1.41254e-07	7943282.347242822	1e-09	163042.18992825676
1.41254e-07	8912509.381337458	1e-09	8.1e-10
1.41254e-07	10000000.0	1e-09	1.069e-09
1.41254e-07	11220184.54301963	1e-09	2.1977e-08
1.41254e-07	12589254.117941663	1e-09	5.23e-10
1.41254e-07	14125375.446227554	1e-09	1.84493e-07
1.41254e-07	15848931.924611142	1e-09	1.869e-09
1.41254e-07	17782794.100389227	1e-09	931536765238.5757
1.41254e-07	19952623.149688788	1e-09	1.16118e-07
1.41254e-07	22387211.385683376	1e-09	2288231711575.0137
1.41254e-07	25118864.315095823	1e-09	59388.17778927776
1.41254e-07	28183829.31264455	1e-09	5.096828259054235e+22
1.41254e-07	31622776.60168379	1e-09	7.731e-09
1.41254e-07	35481338.92335753	1e-09	2.858906815511973e+24
1.41254e-07	39810717.05534969	1e-09	1.2845e-08
1.41254e-07	44668359.21509635	1e-09	2.894e-09
1.41254e-07	50118723.36272725	1e-09	2.0216e-08
1.41254e-07	56234132.51903491	1e-09	4.9053e-08
1.41254e-07	63095734.448019296	1e-09	3.9219315e-05
1.41254e-07	70794578.43841374	1e-09	7.897688493998872e+31
1.41254e-07	79432823.47242822	1e-09	5.74116462207328e+25
1.41254e-07	89125093.8133746	1e-09	1.01557e-07
1.41254e-07	100000000.0	1e-09	1.1537188808285925e+68
1.58489e-07	100.0	4.449794962134369e-07	7e-12
1.58489e-07	112.2018454301963	3.9645144032441316e-07	7e-12
1.58489e-07	125.89254117941675	3.5348419469549667e-07	7e-12
1.58489e-07	141.2537544622754	3.1513018179632126e-07	7e-12
1.58489e-07	158.48931924611142	2.8078247637540774e-07	7e-12
1.58489e-07	177.82794100389228	2.5019579136939296e-07	7e-12
1.58489e-07	199.52623149688787	2.229923683050041e-07	8e-12
1.58489e-07	223.872113856834	1.9878792479036738e-07	8e-12
1.58489e-07	251.18864315095797	1.7715768641695745e-07	8e-12
1.58489e-07	281.8382931264455	1.5786650709136257e-07	8e-12
1.58489e-07	316.22776601683796	1.40705152107591e-07	8e-12
1.58489e-07	354.8133892335753	1.25409373998264e-07	8e-12
1.58489e-07	398.1071705534973	1.1177379588384994e-07	8e-12
1.58489e-07	446.683592150963	9.962308814736816e-08	9e-12
1.58489e-07	501.18723362727246	8.878712634844964e-08	9e-12
1.58489e-07	562.341325190349	7.912614362310424e-08	9e-12
1.58489e-07	630.957344480193	7.052936926130465e-08	9e-12
1.58489e-07	707.945784384138	6.285212998468041e-08	9e-12
1.58489e-07	794.3282347242813	5.601830966694819e-08	9e-12
1.58489e-07	891.2509381337459	4.9929819953985365e-08	9e-12
1.58489e-07	1000.0	4.449794962134369e-08	1e-11
1.58489e-07	1122.018454301963	3.9658839345050726e-08	1e-11
1.58489e-07	1258.9254117941675	3.53459777715719e-08	1e-11
1.58489e-07	1412.537544622754	3.149995983287373e-08	1e-11
1.58489e-07	1584.893192461114	2.806273531108234e-08	1e-11
1.58489e-07	1778.2794100389228	2.494537287437939e-08	1e-11
1.58489e-07	1995.2623149688789	2.1939160231381635e-08	1.1e-11
1.58489e-07	2238.72113856834	1.8521237466580913e-08	1.1e-11
1.58489e-07	2511.88643150958	1.4013609132904658e-08	1.3e-11
1.58489e-07	2818.382931264455	9.577452351172396e-09	1.6e-11
1.58489e-07	3162.2776601683795	7.431560196868501e-09	1.7e-11
1.58489e-07	3548.133892335753	7.736953736858235e-09	1.8e-11
1.58489e-07	3981.0717055349733	7.73018699982856e-09	1.8e-11
1.58489e-07	4466.835921509631	3.819354763494528e-09	1.8e-11
1.58489e-07	5011.872336272725	4.809611529614112e-09	1.9e-11
1.58489e-07	5623.413251903491	5.606605516476973e-09	1.8e-11
1.58489e-07	6309.57344480193	4.151165038179313e-09	1.8e-11
1.58489e-07	7079.457843841381	1.332324456528078e-09	2.3e-11
1.58489e-07	7943.282347242814	3.4800861892816564e-09	2e-11
1.58489e-07	8912.509381337459	2.7813779028414964e-09	1.7e-11
1.58489e-07	10000.0	1.3049083194976182e-09	3.3573761424296275e+127
1.58489e-07	11220.18454301963	1.2734737578621583e-09	1.4e-11
1.58489e-07	12589.254117941662	1.1425099737193997e-09	4.952e-09
1.58489e-07	14125.375446227554	1e-09	1.854e-09
1.58489e-07	15848.93192461114	1e-09	2.46e-10
1.58489e-07	17782.794100389227	1e-09	6.65e-10
1.58489e-07	19952.62314968879	1e-09	1.29e-10
1.58489e-07	22387.21138568338	1e-09	1.81e-10
1.58489e-07	25118.864315095823	1e-09	6.4e-11
1.58489e-07	28183.82931264455	1e-09	1.523e-09
1.58489e-07	31622.776601683792	1e-09	1.14e-10
1.58489e-07	35481.33892335753	1e-09	5.4325e-08
1.58489e-07	39810.71705534969	1e-09	6.9653028e-05
1.58489e-07	44668.359215096345	1e-09	1.5014124e-05
1.58489e-07	50118.72336272725	1e-09	1.38631e-07
1.58489e-07	56234.13251903491	1e-09	5.0811e-08
1.58489e-07	63095.7344480193	1e-09	2.34888e-07
1.58489e-07	70794.57843841374	1e-09	8.75226e-07
1.58489e-07	79432.82347242821	1e-09	2.183635e-06
1.58489e-07	89125.0938133746	1e-09	6.825901e-06
1.58489e-07	100000.0	1e-09	6.5222884e-05
1.58489e-07	112201.84543019629	1e-09	0.000117424846
1.58489e-07	125892.54117941661	1e-09	0.000476979814
1.58489e-07	141253.75446227554	1e-09	0.002189827977
1.58489e-07	158489.3192461114	1e-09	0.011869160429
1.58489e-07	177827.94100389228	1e-09	0.063902816501
1.58489e-07	199526.2314968879	1e-09	0.394393728194
1.58489e-07	223872.11385683378	1e-09	2.563893610224
1.58489e-07	251188.6431509582	1e-09	18.793168168033
1.58489e-07	281838.2931264455	1e-09	129.837456761482
1.58489e-07	316227.7660168379	1e-09	985.144642804033
1.58489e-07	354813.3892335753	1e-09	9251.241112525531
1.58489e-07	398107.1705534969	1e-09	87478.23259612857
1.58489e-07	446683.5921509635	1e-09	948855.326727801
1.58489e-07	501187.2336272725	1e-09	11086641.389799528
1.58489e-07	562341.3251903491	1e-09	160731130.7512789
1.58489e-07	630957.344480193	1e-09	1816770209.8188064
1.58489e-07	707945.7843841374	1e-09	30102322206.633793
1.58489e-07	794328.2347242822	1e-09	477529273657.68915
1.58489e-07	891250.9381337459	1e-09	9651615228750.967
1.58489e-07	1000000.0	1e-09	0.012480155598
1.58489e-07	1122018.4543019629	1e-09	8.1e-11
1.58489e-07	1258925.411794166	1e-09	3.2e-11
1.58489e-07	1412537.5446227554	1e-09	1.25e-10
1.58489e-07	1584893.1924611141	1e-09	37.25632384666
1.58489e-07	1778279.410038923	1e-09	1.078e-09
1.58489e-07	1995262.3149688789	1e-09	1.95e-10
1.58489e-07	2238721.138568338	1e-09	9189.671773189257
1.58489e-07	2511886.4315095823	1e-09	7e-12
1.58489e-07	2818382.931264455	1e-09	1.29e-10
1.58489e-07	3162277.6601683795	1e-09	0.62304583909
1.58489e-07	3548133.892335753	1e-09	7.9e-11
1.58489e-07	3981071.7055349695	1e-09	6.6e-10
